=== 每张图片各类藻密度 (Cells/L，含修正系数) ===
文件名,丝状藻,其他,小环藻,微囊藻,拟新月藻,栅藻,浮丝藻,长孢藻,合计密度
haiwanzhong2025-720241027_DL_216.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.31e+08
haiwanzhong2025-720241027_DL_217.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_218.jpg,0.00e+00,0.00e+00,0.00e+00,9.31e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.45e+09
haiwanzhong2025-720241027_DL_219.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_22.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_220.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,5.17e+08,0.00e+00,1.14e+09
haiwanzhong2025-720241027_DL_221.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_222.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_223.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_224.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_225.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_226.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_227.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_228.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
haiwanzhong2025-720241027_DL_229.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_23.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_230.jpg,0.00e+00,0.00e+00,0.00e+00,1.55e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+08
haiwanzhong2025-720241027_DL_231.jpg,0.00e+00,0.00e+00,0.00e+00,4.66e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.66e+08
haiwanzhong2025-720241027_DL_232.jpg,0.00e+00,0.00e+00,0.00e+00,6.21e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.21e+08
haiwanzhong2025-720241027_DL_233.jpg,0.00e+00,0.00e+00,0.00e+00,3.10e+08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.10e+08
